Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Ready to move,3990,11804,4 BHK Apartment in DLF Pinnacle,Sector 43,Not approved by RERA,4,Apartment,47073747.55156634
Ready to move,1692,22417,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment,38339621.81981622
Ready to move,2325,5892,4 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,4,Apartment,13663824.297156304
Ready to move,880,22039,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Not approved by RERA,2,Apartment,19305301.322027177
Ready to move,1600,16918,3 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Apartment,27008968.31949578
Ready to move,1503,14238,3 BHK Apartment in MRG Crown,Sector 106,Not approved by RERA,3,Apartment,21320010.387229655
Under Construction,4500,15333,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor,69026326.01803176
Under Construction,2440,18000,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment,43900000.00000265
Ready to move,3125,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment,54563896.23986924
Under Construction,1118,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment,10508733.735091975
Ready to move,3103,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment,54272730.31489341
Ready to move,1800,10555,3 BHK Apartment in Ashley Whitehousz Floors 4,Sector 50,Not approved by RERA,3,Apartment,18999999.999998465
Ready to move,1650,12121,3 BHK Apartment in Pareena Enorme,Sector 99A,Not approved by RERA,3,Apartment,19991365.252669174
Under Construction,1975,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,34099499.26909904
Ready to move,2400,10551,4 BHK Independent Floor in Kibithu Homes,Sector 47,Not approved by RERA,4,Floor,25304836.722787797
Under Construction,450,11555,2 BHK Independent House,Sector 105,Not approved by RERA,2,Plot,5205196.728305371
Ready to move,2408,8305,3 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,3,Apartment,20000000.000000726
Under Construction,578,4086,2 BHK Apartment in Pyramid Pride,Sector 76,Approved by RERA,2,Apartment,2363222.398170305
Ready to move,1900,14473,3 BHK Independent Floor in Today Developer 5,Sector 43,Not approved by RERA,3,Floor,27504955.535458595
Ready to move,2000,11000,3 BHK Apartment in Emaar Imperial Gardens,Sector 102,Not approved by RERA,3,Apartment,21963081.066309992
Ready to move,1829,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,22300934.75671826
Ready to move,1572,6743,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment,10566517.779913258
Ready to move,3395,25000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,84800000.0000036
Under Construction,2350,21825,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment,51200000.000002585
Ready to move,2000,11500,3 BHK Independent Floor,DLF Phase 4,Not approved by RERA,3,Plot,23002066.820864197
Ready to move,1350,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment,7451369.072458972
Ready to move,2200,7500,3 BHK Independent Floor,Sushant Lok,Not approved by RERA,3,Plot,16505709.90722262
Under Construction,1730,8100,3 BHK Apartment in Ashiana Mulberry Phase 2,Sector 2 Sohna,Approved by RERA,3,Apartment,14000000.000000555
Under Construction,1423,8503,3 BHK Apartment in Smart Smart World Gems,Sector 89,Approved by RERA,3,Apartment,12099999.999999218
Ready to move,2000,6250,6 BHK Independent House,Sector 7 Extension Gurgaon,Not approved by RERA,6,Plot,12579088.447967505
Ready to move,1535,36506,3 BHK Apartment in Mahindra Luminare,Sector 59,Not approved by RERA,3,Apartment,55999999.99999884
Under Construction,4430,20000,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment,88600000.00000681
Under Construction,571,4056,2 BHK Apartment in Supertech The Valley,Sector 78,Approved by RERA,2,Apartment,2320197.369842038
Ready to move,3125,8950,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment,27912653.89017228
Ready to move,6500,18461,5 BHK Villa in Tata Raisina Residency,Sector 59,Not approved by RERA,5,Villa,120144754.16757113
Ready to move,2673,37977,3 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,3,Apartment,101549637.38346928
Under Construction,1797,21312,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,38160336.783313245
Under Construction,2000,5650,3 BHK Apartment in Emaar Palm Heights,Sector 77,Approved by RERA,3,Apartment,11498234.951405814
Under Construction,2510,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment,52699999.99999906
Ready to move,2551,28538,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment,72614515.52033377
Ready to move,1981,7967,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment,15928706.135074502
Ready to move,2000,6250,3 BHK Independent Floor in Ansal Esencia,Sector 67,Not approved by RERA,3,Floor,12497753.417198123
Under Construction,3950,20253,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,79909091.8686251
Ready to move,3363,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,73887968.3855436
Ready to move,3532,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment,134099498.6958434
Ready to move,900,3888,2 BHK Independent Floor,Sector 33,Not approved by RERA,2,Plot,3500000.0000001797
Ready to move,3677,28529,4 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,4,Apartment,106107619.8568838
Ready to move,4366,15000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,65364384.64430869
Under Construction,1109,34625,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,38399999.99999852
Ready to move,1758,6336,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,11282620.527186556
Under Construction,2290,16500,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,37699495.36027549
Ready to move,2003,7488,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,14997488.461425396
Ready to move,1800,12222,3 BHK Independent Floor in Raheja South City 1 Floors,Sector 41,Not approved by RERA,3,Floor,22004944.583864626
Ready to move,2000,6250,3 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,3,Floor,12515005.593280457
Ready to move,2150,9674,3 BHK Apartment in ATS Marigold,Sector 89A,Not approved by RERA,3,Apartment,20808902.527616758
Under Construction,2077,22500,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment,48686536.91753789
Ready to move,3000,16333,4 BHK Apartment in Ashley Floors 2,DLF Phase 2,Not approved by RERA,4,Apartment,48670838.423947334
Ready to move,4403,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment,96215256.06564368
Ready to move,1322,9077,2 BHK Apartment in Umang Winter Hills,Sector 77,Not approved by RERA,2,Apartment,11981637.369203338
Under Construction,1440,11458,2 BHK Independent Floor in DLF Independent Floors At Dlf Garden City Enclave Phase 2 Plot,Sector 93,Approved by RERA,2,Floor,16484706.029125374
Under Construction,1841,21300,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,39029288.87053216
Under Construction,1199,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,7672119.954038398
Ready to move,1845,11924,3 BHK Apartment in Avighna Real 476 Sector 46,Sector 46,Not approved by RERA,3,Apartment,21916079.71493761
Under Construction,2078,7218,3 BHK Apartment in Godrej Habitat,Sector 3,Approved by RERA,3,Apartment,19453956.843911324
Ready to move,1850,9621,4 BHK Independent Floor in Emaar Emerald Floors,Sector 65,Not approved by RERA,4,Floor,17869163.9985662
Under Construction,2282,18000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment,40999999.99999736
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,2100,20095,3 BHK Apartment,Sector 113,Not approved by RERA,3,Plot,42073813.89567355
Under Construction,1305,16475,3 BHK Apartment in Signature Global City 63A,Sector 63A,Approved by RERA,3,Apartment,21551878.72869407
Ready to move,1283,9353,2 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,2,Apartment,12000995.897660717
Ready to move,2282,28000,3 BHK Apartment in DLF Park Place,Sector 54,Not approved by RERA,3,Apartment,63800000.00000438
Under Construction,2229,42734,4 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,4,Apartment,95199999.9999941
Ready to move,2867,26949,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment,77019214.888756
Ready to move,1680,14880,3 BHK Apartment in Tulip White,Sector 69,Not approved by RERA,3,Apartment,24956468.628245395
Ready to move,734,15667,2 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,2,Apartment,10716342.431464488
Ready to move,2045,17114,4 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,4,Apartment,34970797.74929807
Under Construction,2800,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment,55722446.51705306
Under Construction,869,2608,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment,2428359.57191908
Ready to move,1100,4090,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,1374,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,27996983.97529393
Ready to move,1423,8513,3 BHK Apartment in M3M Soulitude,Sector 89,Not approved by RERA,3,Apartment,12082896.641289234
Ready to move,1313,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,26499999.999998584
Under Construction,2900,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment,58476372.26788934
Ready to move,2900,18517,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,53718810.32005311
Under Construction,2016,27044,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,54585250.828295074
Ready to move,2450,12204,3 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,3,Apartment,29888720.73067232
Ready to move,2095,22000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment,45999999.99999856
Under Construction,1530,8627,3 BHK Apartment in Signature Global Global Prime,Sector 63,Approved by RERA,3,Apartment,13098866.865931401
Under Construction,894,25032,2 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,2,Apartment,22199283.934644625
Under Construction,2350,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment,26400000.000001993
Ready to move,1534,29269,3 BHK Apartment in Mahindra Luminare Phase 2,Sector 59,Not approved by RERA,3,Apartment,42940097.87029042
Ready to move,1261,16891,2 BHK Apartment in M3M Skycity,Sector 65,Not approved by RERA,2,Apartment,21323472.17387389
Ready to move,1350,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment,7451369.072458972
Ready to move,1100,4090,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,1579,14249,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment,22328140.09903817
Under Construction,1981,18001,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment,35599999.99999806
Ready to move,3510,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,77178420.12102403
Under Construction,779,4107,3 BHK Apartment in Rajvik Sector79,Sector 79,Not approved by RERA,3,Apartment,3096352.8955923887
Ready to move,1855,14000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment,25900000.000000454
Under Construction,1358,17000,2 BHK Apartment in M3M Skycity,Sector 65,Approved by RERA,2,Apartment,23233869.426779922
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,67400000.00000645
Ready to move,1700,10588,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,Not approved by RERA,3,Floor,18000000.000000242
Ready to move,1250,7840,2 BHK Apartment in Silverglades The Melia,Sector 35 Sohna,Not approved by RERA,2,Apartment,9837577.542292755
Ready to move,2470,18218,3 BHK Apartment in Bestech Park View Spa,Sector 47,Not approved by RERA,3,Apartment,45005187.59906013
Ready to move,1470,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment,23500000.00000127
Ready to move,1980,8838,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment,17442806.177690968
Under Construction,2305,14900,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment,34286828.58188075
Under Construction,2822,42749,4 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,4,Apartment,119750884.57579762
Under Construction,1976,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,34099999.999996826
Under Construction,2071,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment,23199999.999998387
Ready to move,1180,6779,2 BHK Apartment in Supertech Hues,Sector 68,Not approved by RERA,2,Apartment,7984191.535038698
Under Construction,1099,6811,2 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,2,Apartment,8386029.432604864
Under Construction,1695,220000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,372899999.9999795
Ready to move,3150,17000,3 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,3,Apartment,53704268.74687564
Ready to move,1200,4000,3 BHK Independent Floor,Sector 11,Not approved by RERA,3,Plot,4799999.999999974
Ready to move,4518,7281,5 BHK Independent Floor in LUXURY floorsss,Sushant Lok Phase - 2,Not approved by RERA,5,Floor,32908370.862515755
Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,18295488.216215346
Ready to move,1040,12980,2 BHK Apartment in Eros Wimbley Estate,Sector 49,Not approved by RERA,2,Apartment,13474546.346496452
Under Construction,362,4118,1 BHK Apartment in OSB Golf Heights,Sector 69,Approved by RERA,1,Apartment,1472158.7981672294
Under Construction,1095,8127,2 BHK Apartment in Signature Global City 81,Sector 81,Approved by RERA,2,Apartment,8851349.01191442
Ready to move,2599,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment,52400000.00000227
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,67400000.00000645
Ready to move,1366,7247,2 BHK Apartment in M3M Woodshire,Sector 107,Not approved by RERA,2,Apartment,9898816.021710498
Ready to move,5210,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,114599999.99999239
Under Construction,1800,13333,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,3,Floor,24004302.30141475
Under Construction,2090,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment,30800000.000002068
Ready to move,1811,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,25600000.00000106
Under Construction,2248,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment,47199999.99999667
Ready to move,2317,5600,4 BHK Apartment in Godrej Icon,Sector 88A,Not approved by RERA,4,Apartment,12895913.527172728
Under Construction,1242,6600,2 BHK Apartment in M3M Natura,Sector 68,Approved by RERA,2,Apartment,8348226.344975155
Under Construction,2717,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,44800000.000001386
Under Construction,2440,18000,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment,43900000.00000265
Under Construction,2073,32706,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,Approved by RERA,4,Apartment,67734547.49632068
Ready to move,2527,9150,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,23322894.696534984
Ready to move,1358,22091,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,29899999.999998596
Under Construction,3230,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment,72600000.00000483
Under Construction,1731,39514,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,68400000.00000377
Under Construction,1099,12283,2 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,2,Apartment,13848054.155978942
Ready to move,1159,14000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment,16192680.54507235
Ready to move,2000,11000,3 BHK Apartment in Dhara Malibu Town Floors,Sector 47,Not approved by RERA,3,Apartment,21946774.01488722
Under Construction,2505,9700,4 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,4,Apartment,24199999.999998797
Under Construction,1555,20000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,31183774.676206682
Under Construction,900,9444,2 BHK Independent Floor in Signature Global City 81,Sector 81,Approved by RERA,2,Floor,9709536.130403606
Ready to move,1800,13055,3 BHK Independent Floor in Dhara Malibu Town Floors,Sector 47,Not approved by RERA,3,Floor,23517982.03219872
Ready to move,1950,14974,3 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,3,Apartment,29299930.349211395
Under Construction,1020,6107,2 BHK Apartment in Signature Global Park 4 And 5,Sector 36 Sohna,Approved by RERA,2,Apartment,6253661.1883605085
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,67400000.00000645
Under Construction,2503,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,49999999.99999991
Ready to move,585,4290,2 BHK Independent House,Maruti Kunj,Not approved by RERA,2,Plot,2430260.372502373
Under Construction,981,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment,9306615.177930769
Ready to move,2150,10000,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment,21446758.07158791
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,36400000.000001304
Ready to move,1600,21000,2 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,2,Apartment,33600422.24619131
Under Construction,2516,13983,4 BHK Apartment in Aviana Chintamani,Sector 103,Approved by RERA,4,Apartment,35103936.655349635
Under Construction,1118,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment,10508733.735091975
Ready to move,2858,12000,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment,34816789.338391446
Ready to move,4950,10900,5 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,5,Apartment,53909154.47959455
Ready to move,1691,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,23899999.999999978
Ready to move,1850,9729,3 BHK Independent Floor,Sector 82,Not approved by RERA,3,Plot,17995081.17435456
Ready to move,2952,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,44199160.75321779
Under Construction,6353,20000,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment,127000000.00000449
Ready to move,4500,10333,4 BHK Independent Floor,Sector 41,Not approved by RERA,4,Plot,46378376.28999599
Under Construction,1368,6644,2 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Approved by RERA,2,Apartment,9203172.589405315
Ready to move,2700,11814,4 BHK Independent Floor,DLF CITY PHASE I,Not approved by RERA,4,Plot,31865075.478097394
Ready to move,1435,7967,2 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,2,Apartment,11385109.512496144
Ready to move,1370,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,16701495.593795992
Under Construction,6828,16500,5 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,5,Apartment,112628978.00372268
Under Construction,4000,20000,3 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,3,Apartment,79947409.0131154
Ready to move,340,4000,1 BHK Apartment in Pyramid Urban Homes II,Sector 86,Not approved by RERA,1,Apartment,1354877.9878174926
Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,37599999.99999917
Under Construction,2040,15931,3 BHK Apartment in M3M Heights,Sector 65,Approved by RERA,3,Apartment,32683825.070432242
Under Construction,2016,21301,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,42708686.08272306
Under Construction,2520,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,51298843.1651032
Ready to move,545,5871,1 RK Studio Apartment in Satya The Hermitage,Sector 103,Not approved by RERA,1,Apartment,3471391.8333879746
Ready to move,1800,10555,3 BHK Apartment in Ashley Whitehousz Floors 4,Sector 50,Not approved by RERA,3,Apartment,18999999.999998465
Under Construction,2015,17965,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,36131103.758830145
Under Construction,7452,18558,5 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,5,Apartment,138300000.00000632
Ready to move,1530,10600,2 BHK Apartment in Ireo The Corridors,Sector 67,Not approved by RERA,2,Apartment,16729452.770050375
Ready to move,2700,10925,3 BHK Independent Floor,DLF Phase 2,Not approved by RERA,3,Plot,29496060.9468148
Under Construction,1731,39514,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,68400000.00000377
Ready to move,1750,12000,3 BHK Independent Floor in Vatika INXT Floors,Sector 82,Not approved by RERA,3,Floor,20861129.6127325
Ready to move,1366,7393,2 BHK Apartment in M3M Woodshire,Sector 107,Not approved by RERA,2,Apartment,10113404.874341996
Under Construction,1359,6989,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,3,Apartment,9694990.040544217
Under Construction,579,4000,2 BHK Apartment in Pyramid Urban 67A,Sector 67,Approved by RERA,2,Apartment,2314300.8536945563
Ready to move,2420,28512,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment,68991390.51090145
Ready to move,2156,21500,3 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,3,Apartment,46322956.15567505
Ready to move,1950,8717,3 BHK Apartment in M3M Marina,Sector 68,Not approved by RERA,3,Apartment,16988659.350965314
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,54999999.99999715
Under Construction,1310,220000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment,288199999.9999832
Under Construction,735,9089,2 BHK Apartment in Shapoorji Pallonji Joyville Gurugram II,Sector 102,Approved by RERA,2,Apartment,7114852.850738189
Ready to move,1550,8387,3 BHK Independent Floor in Vatika India Next,Sector 82,Not approved by RERA,3,Floor,12938535.922734655
Under Construction,746,11183,2 BHK Apartment in Signature Global Park 4 And 5 Phase II,Sector 36 Sohna,Approved by RERA,2,Apartment,8383644.2228682395
Ready to move,1852,12419,3 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Not approved by RERA,3,Apartment,23039709.300809268
Under Construction,1330,12330,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment,16158345.151362441
Ready to move,1150,4420,2 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,2,Apartment,4746639.882369017
Ready to move,1920,5937,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,3,Apartment,11358273.242127948
Ready to move,3510,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,52596997.23037774
Under Construction,2282,18000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment,40999999.99999736
Ready to move,2950,16200,4 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,4,Apartment,47701296.01811844
Ready to move,4268,13710,4 BHK Apartment in Unitech The Close South,Sector 50,Not approved by RERA,4,Apartment,58880067.120882876
Under Construction,1190,14000,3 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,3,Apartment,16591439.248959888
Ready to move,516,10077,2 BHK Apartment in Apex Our Homes,Sector 37C,Not approved by RERA,2,Apartment,5207296.745388695
Ready to move,2400,16250,4 BHK Independent Floor in Suncity Sun City,Sector 54,Not approved by RERA,4,Floor,38912443.05546792
Ready to move,2138,11693,3 BHK Apartment in BPTP Amstoria Plots,Sector 102,Not approved by RERA,3,Apartment,24990916.10319703
Ready to move,1776,10247,3 BHK Apartment in Ashiana Anmol,Sector 33 Sohna,Not approved by RERA,3,Apartment,18202975.786369685
Ready to move,1432,14000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment,20009533.28937142
Ready to move,4650,10775,4 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,4,Apartment,50109291.84577914
Under Construction,1352,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,22299999.99999874
Ready to move,715,9090,2 BHK Apartment in Pyramid Urban Homes 2,Sector 86,Not approved by RERA,2,Apartment,6485852.466554318
Under Construction,1455,11700,2 BHK Apartment in Kashish Manor One,Sector 111,Approved by RERA,2,Apartment,16954011.15592054
Ready to move,2950,7694,4 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,4,Apartment,22640863.401885007
Under Construction,1692,6855,3 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Approved by RERA,3,Apartment,12222910.728295375
Under Construction,1550,5935,2 BHK Apartment in Pareena Coban Residences,Sector 99A,Approved by RERA,2,Apartment,8969572.911570452
Under Construction,368,3500,1 BHK Apartment in Pyramid Altia,Sector 70,Approved by RERA,1,Apartment,1312385.4795543856
Ready to move,2660,16090,3 BHK Apartment in M3M Merlin Iconic Tower,Sector 67,Not approved by RERA,3,Apartment,42680348.03934809
Under Construction,4500,15333,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor,69026326.01803176
Ready to move,2527,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,40433479.60119242
Ready to move,1575,7516,2 BHK Apartment in Godrej Icon,Sector 88A,Not approved by RERA,2,Apartment,11830235.022936368
Ready to move,5450,11000,4 BHK Apartment in Krrish Monde De Provence,Gwal Pahari,Not approved by RERA,4,Apartment,60309172.469173945
Ready to move,2200,9772,3 BHK Independent Floor,Palam Vihar,Not approved by RERA,3,Plot,21543276.52604969
Under Construction,2380,18000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment,42799999.99999812
Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,37599999.99999917
Under Construction,643,3600,3 BHK Apartment in GLS Arawali Homes 2,Sector 4 Sohna,Approved by RERA,3,Apartment,2314039.931359108
