Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type
Ready to move,1685,9250,3 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,3,Apartment
Under Construction,2963,17210,4 BHK Apartment in Sobha City Phase 5,Sector 108,Approved by RERA,4,Apartment
Ready to move,1508,20888,2 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,2,Apartment
Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Ready to move,810,3209,2 BHK Apartment in Apex Our Homes,Sector 37C,Not approved by RERA,2,Apartment
Under Construction,1976,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Under Construction,1967,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,3799,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,1726,30144,4 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,4,Apartment
Under Construction,1371,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment
Ready to move,1830,6393,3 BHK Apartment in Paras Irene,Sector 70A,Not approved by RERA,3,Apartment
Ready to move,1400,4642,2 BHK Apartment in ILD Greens,Sector 37C,Not approved by RERA,2,Apartment
Under Construction,2072,9972,3 BHK Apartment in Sobha City,Sector 108,Approved by RERA,3,Apartment
Under Construction,1620,12962,3 BHK Independent Floor in Laburnum Versalia 67A,Sector 67,Approved by RERA,3,Floor
Ready to move,1535,36506,3 BHK Apartment in Mahindra Luminare,Sector 59,Not approved by RERA,3,Apartment
Ready to move,2781,9888,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment
Under Construction,1795,20000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Ready to move,1689,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment
Ready to move,2200,3863,3 BHK Apartment in Reputed Builder The Nagata CGHS Ltd,IMT Manesar,Not approved by RERA,3,Apartment
Ready to move,1998,14184,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment
Ready to move,3240,2623,3 BHK Independent Floor,Block C 2,Not approved by RERA,3,Plot
Under Construction,2200,13000,3 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,3,Apartment
Ready to move,540,8944,2 BHK Independent House,Sector 104,Not approved by RERA,2,Plot
Under Construction,633,4076,3 BHK Apartment in Signature Global Builders Golf Greens Sector 79 Gurgaon,Sector 79,Not approved by RERA,3,Apartment
Under Construction,1975,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,3850,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,3505,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,1335,9479,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment
Ready to move,1260,793,3 BHK Independent Floor in HUDA Pacecity 2,Sector 37C,Not approved by RERA,3,Floor
Ready to move,2282,14969,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Not approved by RERA,3,Apartment
Under Construction,1579,8106,3 BHK Apartment in TATA TATA La Vida,Sector 113,Approved by RERA,3,Apartment
Under Construction,2637,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,5618,32484,4 BHK Apartment in Emaar The Palm Springs,Sector 54,Not approved by RERA,4,Apartment
Ready to move,3229,16881,5 BHK Villa in Experion The Westerlies,Sector 108,Not approved by RERA,5,Villa
Under Construction,1665,20000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Under Construction,1726,30144,4 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,4,Apartment
Ready to move,5927,11277,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment
Ready to move,1950,12222,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment
Ready to move,2174,14829,4 BHK Apartment in Ireo Uptown,Sector 66,Not approved by RERA,4,Apartment
Ready to move,2550,9607,4 BHK Independent Floor,Palam Vihar,Not approved by RERA,4,Plot
Ready to move,2726,13756,4 BHK Independent Floor,Sector 58,Not approved by RERA,4,Plot
Ready to move,2450,12500,3 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,3,Apartment
Under Construction,2100,9285,3 BHK Independent Floor,Sector 63,Not approved by RERA,3,Plot
Under Construction,1478,6499,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment
Under Construction,2270,19823,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Ready to move,1435,9150,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment
Ready to move,590,8813,2 BHK Apartment in Pivotal Riddhi Siddhi,Sector 99,Not approved by RERA,2,Apartment
Ready to move,3240,12654,4 BHK Independent Floor,Sector 41,Not approved by RERA,4,Plot
Under Construction,1711,8190,3 BHK Apartment in Sobha City,Sector 108,Approved by RERA,3,Apartment
Under Construction,1579,10766,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Approved by RERA,3,Apartment
Ready to move,3464,29941,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment
Ready to move,2685,14500,4 BHK Apartment in Bestech Park View Spa Next,Sector 67,Not approved by RERA,4,Apartment
Ready to move,750,6400,2 BHK Apartment in Signature Global Solera 2,Sector 107,Not approved by RERA,2,Apartment
Ready to move,6251,24709,4 BHK Independent Floor in B kumar and brothers the passion group,Aralias Drive,Not approved by RERA,4,Floor
Ready to move,1943,8492,3 BHK Apartment in M3M Woodshire,Sector 107,Not approved by RERA,3,Apartment
Ready to move,990,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Under Construction,1423,5832,3 BHK Apartment in Smart Smart World Gems,Sector 89,Approved by RERA,3,Apartment
Ready to move,3449,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,1500,16636,4 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,4,Apartment
Under Construction,2795,18558,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment
Ready to move,2411,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Ready to move,1875,28000,3 BHK Apartment in DLF Park Place,Sector 54,Not approved by RERA,3,Apartment
Under Construction,1118,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment
Under Construction,1845,13983,3 BHK Apartment in Aviana Chintamani,Sector 103,Approved by RERA,3,Apartment
Ready to move,7851,22000,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment
Ready to move,1800,10555,3 BHK Apartment in Ashley Whitehousz Floors 4,Sector 50,Not approved by RERA,3,Apartment
Ready to move,3046,21500,3 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,3,Apartment
Under Construction,2503,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Under Construction,1503,13972,3 BHK Independent Floor in MRG Crown,Sector 106,Approved by RERA,3,Floor
Under Construction,1081,21314,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Under Construction,4000,10750,4 BHK Independent Floor in Vipul World Floors,Sector 48,Approved by RERA,4,Floor
Under Construction,1091,14000,3 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,3,Apartment
Ready to move,3117,17965,4 BHK Villa in TATA Primanti UberLuxe,Sector 72,Not approved by RERA,4,Villa
Ready to move,930,9892,2 BHK Independent Floor in Vatika Emilia Floors,Sector 82,Not approved by RERA,2,Floor
Ready to move,2430,13779,4 BHK Independent Floor in DLF Phase 4,Sector 27,Not approved by RERA,4,Floor
Ready to move,1111,27854,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Resale,1260,9126,Residential Plot in BPTP District 6 Block L,Sector 84,Not approved by RERA,6,Plot
Ready to move,6749,14028,4 BHK Villa in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,4,Villa
Ready to move,5977,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment
Under Construction,1330,220000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Under Construction,574,4003,2 BHK Apartment in Pyramid Elite,Sector 86,Approved by RERA,2,Apartment
Under Construction,1213,15664,2 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,2,Apartment
Resale,3240,12222,Residential Plot in south city 1 Q Block,South City I,Not approved by RERA,1,Plot
Ready to move,2095,12649,3 BHK Apartment in ATS Kocoon,Sector 109,Not approved by RERA,3,Apartment
Ready to move,4500,13235,4 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,4,Apartment
Under Construction,1205,12448,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,Approved by RERA,3,Apartment
Ready to move,1500,9038,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment
Under Construction,2570,20000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Ready to move,3762,7044,4 BHK Independent Floor in Ansal Sushant Lok I,Sector 43,Not approved by RERA,4,Floor
Under Construction,1955,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,4500,6000,4 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,4,Floor
Ready to move,2450,29940,3 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,3,Apartment
Ready to move,3986,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1950,8462,3 BHK Apartment in Shree Vardhman Shree Vardhman Victoria,Sector 70,Not approved by RERA,3,Apartment
Under Construction,1692,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Under Construction,730,7750,2 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,2,Apartment
Under Construction,1660,41271,3 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,3,Apartment
Ready to move,3240,8950,4 BHK Independent Floor in Vipul World Plots,Sector 48,Not approved by RERA,4,Floor
Ready to move,3990,11804,4 BHK Apartment in DLF Pinnacle,Sector 43,Not approved by RERA,4,Apartment
Ready to move,1692,22417,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment
Ready to move,2325,5892,4 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,4,Apartment
Ready to move,880,22039,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Not approved by RERA,2,Apartment
Ready to move,1600,16918,3 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1503,14238,3 BHK Apartment in MRG Crown,Sector 106,Not approved by RERA,3,Apartment
Under Construction,4500,15333,4 BHK Independent Floor in Emaar Emerald Hill,Sector 65,Approved by RERA,4,Floor
Under Construction,2440,18000,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment
Ready to move,3125,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment
Under Construction,1118,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment
Ready to move,3103,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment
Ready to move,1800,10555,3 BHK Apartment in Ashley Whitehousz Floors 4,Sector 50,Not approved by RERA,3,Apartment
Ready to move,1650,12121,3 BHK Apartment in Pareena Enorme,Sector 99A,Not approved by RERA,3,Apartment
Under Construction,1975,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,2400,10551,4 BHK Independent Floor in Kibithu Homes,Sector 47,Not approved by RERA,4,Floor
Under Construction,450,11555,2 BHK Independent House,Sector 105,Not approved by RERA,2,Plot
Ready to move,2408,8305,3 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,3,Apartment
Under Construction,578,4086,2 BHK Apartment in Pyramid Pride,Sector 76,Approved by RERA,2,Apartment
Ready to move,1900,14473,3 BHK Independent Floor in Today Developer 5,Sector 43,Not approved by RERA,3,Floor
Ready to move,2000,11000,3 BHK Apartment in Emaar Imperial Gardens,Sector 102,Not approved by RERA,3,Apartment
Ready to move,1829,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Ready to move,1572,6743,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment
Ready to move,3395,25000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment
Under Construction,2350,21825,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment
Ready to move,2000,11500,3 BHK Independent Floor,DLF Phase 4,Not approved by RERA,3,Plot
Ready to move,1350,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment
Ready to move,2200,7500,3 BHK Independent Floor,Sushant Lok,Not approved by RERA,3,Plot
Under Construction,1730,8100,3 BHK Apartment in Ashiana Mulberry Phase 2,Sector 2 Sohna,Approved by RERA,3,Apartment
Under Construction,1423,8503,3 BHK Apartment in Smart Smart World Gems,Sector 89,Approved by RERA,3,Apartment
Ready to move,2000,6250,6 BHK Independent House,Sector 7 Extension Gurgaon,Not approved by RERA,6,Plot
Ready to move,1535,36506,3 BHK Apartment in Mahindra Luminare,Sector 59,Not approved by RERA,3,Apartment
Under Construction,4430,20000,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment
Under Construction,571,4056,2 BHK Apartment in Supertech The Valley,Sector 78,Approved by RERA,2,Apartment
Ready to move,3125,8950,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment
Ready to move,6500,18461,5 BHK Villa in Tata Raisina Residency,Sector 59,Not approved by RERA,5,Villa
Ready to move,2673,37977,3 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,3,Apartment
Under Construction,1797,21312,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment
Under Construction,2000,5650,3 BHK Apartment in Emaar Palm Heights,Sector 77,Approved by RERA,3,Apartment
Under Construction,2510,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Ready to move,2551,28538,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment
Ready to move,1981,7967,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment
Ready to move,2000,6250,3 BHK Independent Floor in Ansal Esencia,Sector 67,Not approved by RERA,3,Floor
Under Construction,3950,20253,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Ready to move,3363,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,3532,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment
Ready to move,900,3888,2 BHK Independent Floor,Sector 33,Not approved by RERA,2,Plot
Ready to move,3677,28529,4 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,4,Apartment
Ready to move,4366,15000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,1109,34625,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Ready to move,1758,6336,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment
Under Construction,2290,16500,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment
Ready to move,2003,7488,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment
Ready to move,1800,12222,3 BHK Independent Floor in Raheja South City 1 Floors,Sector 41,Not approved by RERA,3,Floor
Ready to move,2000,6250,3 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,3,Floor
Ready to move,2150,9674,3 BHK Apartment in ATS Marigold,Sector 89A,Not approved by RERA,3,Apartment
Under Construction,2077,22500,3 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,3,Apartment
Ready to move,3000,16333,4 BHK Apartment in Ashley Floors 2,DLF Phase 2,Not approved by RERA,4,Apartment
Ready to move,4403,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment
Ready to move,1322,9077,2 BHK Apartment in Umang Winter Hills,Sector 77,Not approved by RERA,2,Apartment
Under Construction,1440,11458,2 BHK Independent Floor in DLF Independent Floors At Dlf Garden City Enclave Phase 2 Plot,Sector 93,Approved by RERA,2,Floor
Under Construction,1841,21300,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment
Under Construction,1199,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment
Ready to move,1845,11924,3 BHK Apartment in Avighna Real 476 Sector 46,Sector 46,Not approved by RERA,3,Apartment
Under Construction,2078,7218,3 BHK Apartment in Godrej Habitat,Sector 3,Approved by RERA,3,Apartment
Ready to move,1850,9621,4 BHK Independent Floor in Emaar Emerald Floors,Sector 65,Not approved by RERA,4,Floor
Under Construction,2282,18000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot
Under Construction,2100,20095,3 BHK Apartment,Sector 113,Not approved by RERA,3,Plot
Under Construction,1305,16475,3 BHK Apartment in Signature Global City 63A,Sector 63A,Approved by RERA,3,Apartment
Ready to move,1283,9353,2 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,2,Apartment
Ready to move,2282,28000,3 BHK Apartment in DLF Park Place,Sector 54,Not approved by RERA,3,Apartment
Under Construction,2229,42734,4 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,4,Apartment
Ready to move,2867,26949,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment
Ready to move,1680,14880,3 BHK Apartment in Tulip White,Sector 69,Not approved by RERA,3,Apartment
Ready to move,734,15667,2 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,2,Apartment
Ready to move,2045,17114,4 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,4,Apartment
Under Construction,2800,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment
Under Construction,869,2608,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment
Ready to move,1100,4090,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot
Under Construction,1374,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,1423,8513,3 BHK Apartment in M3M Soulitude,Sector 89,Not approved by RERA,3,Apartment
Ready to move,1313,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,2900,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment
Ready to move,2900,18517,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,2016,27044,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment
Ready to move,2450,12204,3 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,3,Apartment
Ready to move,2095,22000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment
Under Construction,1530,8627,3 BHK Apartment in Signature Global Global Prime,Sector 63,Approved by RERA,3,Apartment
Under Construction,894,25032,2 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,2,Apartment
Under Construction,2350,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment
Ready to move,1534,29269,3 BHK Apartment in Mahindra Luminare Phase 2,Sector 59,Not approved by RERA,3,Apartment
Ready to move,1261,16891,2 BHK Apartment in M3M Skycity,Sector 65,Not approved by RERA,2,Apartment
Ready to move,1350,5500,3 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,3,Apartment
Ready to move,1100,4090,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot
Ready to move,1579,14249,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment
Under Construction,1981,18001,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment
Ready to move,3510,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,779,4107,3 BHK Apartment in Rajvik Sector79,Sector 79,Not approved by RERA,3,Apartment
Ready to move,1855,14000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,4,Apartment
Under Construction,1358,17000,2 BHK Apartment in M3M Skycity,Sector 65,Approved by RERA,2,Apartment
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment
Ready to move,1700,10588,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,Not approved by RERA,3,Floor
Ready to move,1250,7840,2 BHK Apartment in Silverglades The Melia,Sector 35 Sohna,Not approved by RERA,2,Apartment
Ready to move,2470,18218,3 BHK Apartment in Bestech Park View Spa,Sector 47,Not approved by RERA,3,Apartment
Ready to move,1470,16000,2 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,2,Apartment
Ready to move,1980,8838,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment
Under Construction,2305,14900,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Under Construction,2822,42749,4 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,4,Apartment
Under Construction,1976,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Under Construction,2071,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment
Ready to move,1180,6779,2 BHK Apartment in Supertech Hues,Sector 68,Not approved by RERA,2,Apartment
Under Construction,1099,6811,2 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,2,Apartment
Under Construction,1695,220000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment
Ready to move,3150,17000,3 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,3,Apartment
Ready to move,1200,4000,3 BHK Independent Floor,Sector 11,Not approved by RERA,3,Plot
Ready to move,4518,7281,5 BHK Independent Floor in LUXURY floorsss,Sushant Lok Phase - 2,Not approved by RERA,5,Floor
Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment
Ready to move,1040,12980,2 BHK Apartment in Eros Wimbley Estate,Sector 49,Not approved by RERA,2,Apartment
Under Construction,362,4118,1 BHK Apartment in OSB Golf Heights,Sector 69,Approved by RERA,1,Apartment
Under Construction,1095,8127,2 BHK Apartment in Signature Global City 81,Sector 81,Approved by RERA,2,Apartment
Ready to move,2599,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment
Ready to move,1366,7247,2 BHK Apartment in M3M Woodshire,Sector 107,Not approved by RERA,2,Apartment
Ready to move,5210,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,1800,13333,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Approved by RERA,3,Floor
Under Construction,2090,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment
Ready to move,1811,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment
Under Construction,2248,21000,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Ready to move,2317,5600,4 BHK Apartment in Godrej Icon,Sector 88A,Not approved by RERA,4,Apartment
Under Construction,1242,6600,2 BHK Apartment in M3M Natura,Sector 68,Approved by RERA,2,Apartment
Under Construction,2717,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Under Construction,2440,18000,4 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,4,Apartment
Under Construction,2073,32706,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,Approved by RERA,4,Apartment
Ready to move,2527,9150,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment
Ready to move,1358,22091,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment
Under Construction,3230,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment
Under Construction,1731,39514,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Under Construction,1099,12283,2 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,2,Apartment
Ready to move,1159,14000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,Not approved by RERA,3,Apartment
Ready to move,2000,11000,3 BHK Apartment in Dhara Malibu Town Floors,Sector 47,Not approved by RERA,3,Apartment
Under Construction,2505,9700,4 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,4,Apartment
Under Construction,1555,20000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Under Construction,900,9444,2 BHK Independent Floor in Signature Global City 81,Sector 81,Approved by RERA,2,Floor
Ready to move,1800,13055,3 BHK Independent Floor in Dhara Malibu Town Floors,Sector 47,Not approved by RERA,3,Floor
Ready to move,1950,14974,3 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,3,Apartment
Under Construction,1020,6107,2 BHK Apartment in Signature Global Park 4 And 5,Sector 36 Sohna,Approved by RERA,2,Apartment
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment
Under Construction,2503,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,585,4290,2 BHK Independent House,Maruti Kunj,Not approved by RERA,2,Plot
Under Construction,981,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment
Ready to move,2150,10000,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment
Ready to move,1600,21000,2 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,2,Apartment
Under Construction,2516,13983,4 BHK Apartment in Aviana Chintamani,Sector 103,Approved by RERA,4,Apartment
Under Construction,1118,9479,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment
Ready to move,2858,12000,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment
Ready to move,4950,10900,5 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,5,Apartment
Ready to move,1691,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment
